Date,PercUsed
6/19/22,1
6/21/22,1
6/22/22,0.875
6/23/22,0.142857143
6/24/22,0.571428571
6/26/22,1
6/27/22,0.357142857
6/28/22,0.571428571
6/29/22,1
7/5/22,0.5
7/6/22,1
7/7/22,0.5
7/8/22,0.857142857
7/9/22,1
7/12/22,0.214285714
7/14/22,0.857142857
7/17/22,0.857142857
7/18/22,1
7/19/22,1
7/20/22,0.5
7/24/22,0.857142857
7/26/22,1
7/28/22,0.5
7/29/22,1
7/30/22,1
8/1/22,0.357142857
8/2/22,0.428571429
8/3/22,0.642857143
8/4/22,1
8/9/22,0.5
8/10/22,0.5
8/12/22,0.357142857
8/14/22,0.571428571
8/16/22,0.357142857
8/17/22,1
8/20/22,0.857142857
8/21/22,1
8/22/22,0.142857143
8/23/22,0.357142857
8/24/22,0.357142857
8/25/22,0.357142857
8/27/22,1
8/29/22,0.642857143
8/31/22,0.357142857
9/1/22,0.357142857
9/3/22,0.857142857
9/7/22,0.214285714
9/8/22,1
9/9/22,1
9/11/22,1
9/12/22,0.5
9/13/22,0.375
9/14/22,0.625
9/15/22,0.375
9/16/22,0.625
9/17/22,1
9/25/22,1
9/27/22,1
9/28/22,0.5
9/29/22,0.75
10/1/22,1
10/5/22,0.625
10/6/22,0.375
10/8/22,0.785714286
10/10/22,1
10/11/22,0.5
10/13/22,0.625
10/15/22,0.857142857
10/16/22,1
10/17/22,0.5
10/18/22,0.375
10/19/22,0.5
10/20/22,0.75
10/21/22,1
10/27/22,0.375
11/1/22,0.875
11/5/22,0.857142857
11/6/22,0.857142857
11/8/22,0.5
11/9/22,0.875
11/12/22,0.857142857
11/13/22,0.857142857
11/14/22,0.5
11/17/22,0.375
